Name,Repository,Category,TagName,TagLastPushed,TagDigest,TagSize,StarCount,PullCount,DateDownloaded
Name,Repository,Category,TagName,TagLastPushed,TagDigest,TagSize,StarCount,PullCount,DateDownloaded
ruby,library,Official,3.1.5-alpine,2024-05-29T05:58:24Z,sha256:1211633790f90131e47aa87bb04dd7b9088368593d1a4120316e62ef091c9e6f,39908288,2327,1223953108,0001-01-01T00:00:00Z
ruby,library,Official,3.1-alpine3.20,2024-05-29T05:58:00Z,sha256:1211633790f90131e47aa87bb04dd7b9088368593d1a4120316e62ef091c9e6f,39908288,2327,1223953108,0001-01-01T00:00:00Z
ruby,library,Official,3.1-alpine,2024-05-29T05:57:52Z,sha256:1211633790f90131e47aa87bb04dd7b9088368593d1a4120316e62ef091c9e6f,39908288,2327,1223953108,0001-01-01T00:00:00Z
ruby,library,Official,alpine3.20,2024-05-29T03:02:20Z,sha256:87acb7678ced72be878894c2ba06ae2e2140dbf2d5e823fdbab0db95df7a7cd2,44109726,2327,1223953108,0001-01-01T00:00:00Z
python,library,Official,3.9.19-alpine3.20,2024-05-26T06:00:04Z,sha256:45cc18540209d878c2b24080cf8f64fc37603721b67d0ecc508799e2f9a9b21d,18547586,9635,7468387440,0001-01-01T00:00:00Z
python,library,Official,3.9.19-alpine,2024-05-26T05:59:57Z,sha256:9ae901a61e6b27804ef9f48481a0e59093dc2e7222fed6a528125c30a9e10214,18547586,9635,7468387440,0001-01-01T00:00:00Z
python,library,Official,3.9-alpine3.20,2024-05-26T05:59:39Z,sha256:45cc18540209d878c2b24080cf8f64fc37603721b67d0ecc508799e2f9a9b21d,18547586,9635,7468387440,0001-01-01T00:00:00Z
python,library,Official,3.9-alpine,2024-05-26T05:59:34Z,sha256:9ae901a61e6b27804ef9f48481a0e59093dc2e7222fed6a528125c30a9e10214,18547586,9635,7468387440,0001-01-01T00:00:00Z
python,library,Official,3.8.19-alpine3.20,2024-05-26T05:59:13Z,sha256:1c0f3ac20ab5efe5b21d2238d42137da68a5cb1aba6830658744df36760a6f73,18299853,9635,7468387440,0001-01-01T00:00:00Z
perl,library,Official,devel-threaded-bullseye,2024-05-16T04:43:07Z,sha256:1b6ef3e8e60f3cfc9cb5849b6a12714e9592a149883cf83c9538c205b3184cbc,338441270,460,238260377,0001-01-01T00:00:00Z
perl,library,Official,devel-threaded-bookworm,2024-05-16T04:43:03Z,sha256:a4c3f4c19ce739b88f06ec97bee6be0b9789794830028a0407440d2ab5db8482,364963346,460,238260377,0001-01-01T00:00:00Z
perl,library,Official,devel-threaded,2024-05-16T04:43:00Z,sha256:a4c3f4c19ce739b88f06ec97bee6be0b9789794830028a0407440d2ab5db8482,364963346,460,238260377,0001-01-01T00:00:00Z
perl,library,Official,5.39.10-threaded-bullseye,2024-05-16T04:42:25Z,sha256:1b6ef3e8e60f3cfc9cb5849b6a12714e9592a149883cf83c9538c205b3184cbc,338441270,460,238260377,0001-01-01T00:00:00Z
perl,library,Official,5.39.10-threaded-bookworm,2024-05-16T04:42:21Z,sha256:a4c3f4c19ce739b88f06ec97bee6be0b9789794830028a0407440d2ab5db8482,364963346,460,238260377,0001-01-01T00:00:00Z
hello-world,library,Official,nanoserver-ltsc2022,2024-05-16T01:41:25Z,sha256:cbb8ca5fd29d2bd3aa59645da5cc22cc58a6ce592a47b9528c9c56e51b150260,120428106,2253,2819831728,0001-01-01T00:00:00Z
hello-world,library,Official,nanoserver-1809,2024-05-16T01:41:24Z,sha256:0a22b6221a53ec9308912e67fb7e16100e178e25ef35ab5cd8cdbdd8ae7b7342,154944157,2253,2819831728,0001-01-01T00:00:00Z
hello-world,library,Official,nanoserver,2024-05-16T01:41:23Z,sha256:d69b7259ab39e4c59640fa145531cdbe88f18cee47c9a531c4f8a372629c70c1,120428106,2253,2819831728,0001-01-01T00:00:00Z
